ID;Report_ID;Titel;Platform;Participants;Task_Type;n_total;GenAI_Type;GenAI_Model;Creativity_Measurement;Measurement_Evaluator;n_treatment;SD_treatment;M_treatment;n_control;SD_control;M_control;F_value;Chi_square;unstandardised_beta;SD_beta;Z_value;cohens_d
CP06;R1;Revolution or inflated expectations? Exploring the impact of generative AI on ideation in a practical sustainability context;Company;Business;ideation other;56;T2T;GPT-4;novelty scale;Expert;26;0,53;2,91;30;0,52;2,73;;;;;;
CP11;R2;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation item usage;291;T2T;GPT-3.5;creativity scale;Human;145;;;146;;;;;;;;0,5
CP11;R3;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation item usage;291;T2T;GPT-3.5;creativity scale;Human;145;;;146;;;;;;;;0,26
CP11;R4;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation item usage;200;T2T;GPT-3.5;creativity scale;Human;100;;;100;;;;;;;;1,77
CP11;R7;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation item usage;383;T2T;GPT-3.5;creativity scale;Human;192;;;191;;;;;;;;0,79
CP11;R6;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation other;400;T2T;GPT-3.5;creativity scale;Human;200;;;200;;;;;;;;0,35
CP11;R1;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation product;233;T2T;GPT-3.5;creativity scale;Human;117;;;116;;;;;;;;0,34
CP11;R5;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Not disclosed;ideation product;194;T2T;GPT-3.5;creativity scale;Human;97;;;97;;;;;;;;0,25
CP13;R1;Large Language Model in Ideation for Product Innovation: An Exploratory Comparative Study;Mturk;Not disclosed;ideation product;90;T2T;GPT-3.5-turbo;novelty scale;Human;45;;;45;;;;;0,12;1,063;;
CP07;R3;Generative artificial intelligence enhances creativity but reduces the diversity of novel content;Prolific;Not disclosed;creative writing;293;T2T;GPT-4;novelty scale;Expert;100;;;95;;;;;0,207;0,089;;
CP07;R4;Generative artificial intelligence enhances creativity but reduces the diversity of novel content;Prolific;Not disclosed;creative writing;293;T2T;GPT-4;novelty scale;Expert;98;;;95;;;;;0,311;0,087;;
CP01;R1;Establishing the importance of co-creation and self-efficacy in creative collaboration with artificial intelligence;Prolific;Academia;creative writing;96;T2T;n.d.;creativity scale;Expert;48;4,32;12,55;48;4,94;18,23;;;;;;
CP01;R2;Establishing the importance of co-creation and self-efficacy in creative collaboration with artificial intelligence;Prolific;Academia;creative writing;101;T2T;n.d.;creativity scale;Expert;50;4,45;12,53;51;4,98;15,74;;;;;;
CP01;R3;Establishing the importance of co-creation and self-efficacy in creative collaboration with artificial intelligence;Prolific;Academia;creative writing;96;T2T;n.d.;creativity scale;Expert;51;5,06;14,7;51;4,98;15,74;;;;;;
